,edid,year,variable,party,value
153,14,2011,SULLIVAN,GREEN                          ,1027
154,14,2011,WATSON,LIBERAL                        ,11631
155,14,2011,REJECTED,REJECTED,133
156,14,2011,UNMARKED,UNMARKED,66
157,14,2011,DECLINED,DECLINED,34
158,14,2011,VOTER_TURNOUT,VOTER_TURNOUT,36427
159,14,2011,ELECTORS,ELECTORS,73727
160,15,2011,CAUCHI,FREEDOM                        ,96
161,15,2011,DE JONG,DE JONG,855
162,15,2011,FIGUEROA,COMMUNIST                      ,163
163,15,2011,GHIWOT,THE ONLY PARTY,33
164,15,2011,JAGG,INDEPENDENT,250
165,15,2011,MARTINS,LIBERAL                        ,12953
166,15,2011,RUSSELL,NEW DEMOCRATIC                 ,2480
167,15,2011,SCHEIN,NEW DEMOCRATIC                 ,14367
168,15,2011,THOMPSON,PARTY FOR HUMAN RIGHTS IN ONTARIO,82
169,15,2011,REJECTED,REJECTED,118
170,15,2011,UNMARKED,UNMARKED,47
171,15,2011,DECLINED,DECLINED,13
172,15,2011,VOTER_TURNOUT,VOTER_TURNOUT,31457
173,15,2011,ELECTORS,ELECTORS,68998
174,16,2011,BEDROSYAN,GREEN                          ,702
175,16,2011,COTEAU,LIBERAL                        ,16350
176,16,2011,HILLIARD,NEW DEMOCRATIC                 ,5953
177,16,2011,KIDD,FAMILY COALITION PARTY OF ONTARIO,187
178,16,2011,LENDE,PROGRESSIVE CONSERVATIVE       ,8705
179,16,2011,SIMMONS,FREEDOM                        ,113
180,16,2011,REJECTED,REJECTED,100
181,16,2011,UNMARKED,UNMARKED,53
182,16,2011,DECLINED,DECLINED,22
183,16,2011,VOTER_TURNOUT,VOTER_TURNOUT,32185
184,16,2011,ELECTORS,ELECTORS,69851
185,17,2011,AHMED,NEW DEMOCRATIC                 ,3621
186,17,2011,DEB,FREEDOM                        ,74
187,17,2011,FLISS,GREEN                          ,718
188,17,2011,KABITSIS,COMMUNIST                      ,125
189,17,2011,MANDEL-CAMPBELL,PROGRESSIVE CONSERVATIVE       ,12827
190,17,2011,WAIGH,VEGAN ENVIRONMENTAL PARTY,108
191,17,2011,WYNNE,LIBERAL                        ,24444
192,17,2011,REJECTED,REJECTED,64
193,17,2011,UNMARKED,UNMARKED,43
194,17,2011,DECLINED,DECLINED,11
195,17,2011,VOTER_TURNOUT,VOTER_TURNOUT,42035
196,17,2011,ELECTORS,ELECTORS,82533
197,18,2011,GVENTER,NEW DEMOCRATIC                 ,4200
198,18,2011,HOLLOWAY,LIBERAL                        ,10162
199,18,2011,JONES,PROGRESSIVE CONSERVATIVE       ,17833
200,18,2011,KOWALEWSKI,ONTARIO LIBERTARIAN PARTY,250
201,18,2011,STRANG,GREEN                          ,5540
202,18,2011,REJECTED,REJECTED,109
203,18,2011,UNMARKED,UNMARKED,34
204,18,2011,DECLINED,DECLINED,23
205,18,2011,VOTER_TURNOUT,VOTER_TURNOUT,38151
206,18,2011,ELECTORS,ELECTORS,79918
207,19,2011,BARNICOAT,ONTARIO LIBERTARIAN PARTY,424
208,19,2011,O'TOOLE,PROGRESSIVE CONSERVATIVE       ,22393
209,19,2011,SOMERVILLE,LIBERAL                        ,13394
210,19,2011,STRUTT,FREEDOM                        ,172
211,19,2011,TERRY,NEW DEMOCRATIC                 ,8027
212,19,2011,YAGHLEDJIAN,GREEN                          ,1221
213,19,2011,REJECTED,REJECTED,120
214,19,2011,UNMARKED,UNMARKED,33
215,19,2011,DECLINED,DECLINED,20
216,19,2011,VOTER_TURNOUT,VOTER_TURNOUT,45804
217,19,2011,ELECTORS,ELECTORS,92096
218,20,2011,BONE,FREEDOM                        ,152
219,20,2011,COLLE,LIBERAL                        ,20752
220,20,2011,DERVISHI,NEW DEMOCRATIC                 ,3763
221,20,2011,GREEN,INDEPENDENT,146
222,20,2011,RACHLIS,GREEN                          ,575
223,20,2011,REDDY,PARTY FOR PEOPLE WITH SPECIAL NEEDS,79
224,20,2011,ROSSI,PROGRESSIVE CONSERVATIVE       ,12857
225,20,2011,REJECTED,REJECTED,118
226,20,2011,UNMARKED,UNMARKED,43
227,20,2011,DECLINED,DECLINED,11
228,20,2011,VOTER_TURNOUT,VOTER_TURNOUT,38496
229,20,2011,ELECTORS,ELECTORS,74309
230,21,2011,BALDWIN-SANDS,LIBERAL                        ,11075
231,21,2011,CORNISH,NEW DEMOCRATIC                 ,9201
232,21,2011,LOEWEN,GREEN                          ,981
233,21,2011,MCKEEVER,FREEDOM                        ,283
234,21,2011,YUREK,PROGRESSIVE CONSERVATIVE       ,19771
235,21,2011,REJECTED,REJECTED,80
236,21,2011,UNMARKED,UNMARKED,59
237,21,2011,DECLINED,DECLINED,15
238,21,2011,VOTER_TURNOUT,VOTER_TURNOUT,41465
239,21,2011,ELECTORS,ELECTORS,80858
240,22,2011,BRISTER,PROGRESSIVE CONSERVATIVE       ,16049
241,22,2011,MATYI,GREEN                          ,860
242,22,2011,NATYSHAK,NEW DEMOCRATIC                 ,17417
243,22,2011,SCHMIDT,LIBERAL                        ,11518
244,22,2011,REJECTED,REJECTED,98
245,22,2011,UNMARKED,UNMARKED,50
246,22,2011,DECLINED,DECLINED,20
247,22,2011,VOTER_TURNOUT,VOTER_TURNOUT,46012
248,22,2011,ELECTORS,ELECTORS,89549
249,23,2011,BUSSMANN,ONTARIO LIBERTARIAN PARTY,422
250,23,2011,CANSFIELD,LIBERAL                        ,21916
251,23,2011,DEMONTE-WHELAN,PROGRESSIVE CONSERVATIVE       ,13956
252,23,2011,MILLICAN,FAMILY COALITION PARTY OF ONTARIO,231
253,23,2011,RENDA,FREEDOM                        ,108
254,23,2011,RIVERO,NEW DEMOCRATIC                 ,5099
255,23,2011,SAN JUAN,SAN JUAN,837
256,23,2011,REJECTED,REJECTED,213
257,23,2011,UNMARKED,UNMARKED,38
258,23,2011,DECLINED,DECLINED,22
259,23,2011,VOTER_TURNOUT,VOTER_TURNOUT,42842
260,23,2011,ELECTORS,ELECTORS,81413
261,24,2011,BROMBACHER,FREEDOM                        ,174
262,24,2011,BROTEN,LIBERAL                        ,22169
263,24,2011,COLEY,NEW DEMOCRATIC                 ,6713
264,24,2011,KUNOV,ONTARIO LIBERTARIAN PARTY,172
265,24,2011,LETONJA,INDEPENDENT,113
266,24,2011,LOCHWIN,SOCIALIST PARTY OF ONTARIO,125
267,24,2011,MACKAY,NO AFFILIATION,113
268,24,2011,NYILASSY,PROGRESSIVE CONSERVATIVE       ,12705
269,24,2011,SALEWSKY,GREEN                          ,1164
270,24,2011,REJECTED,REJECTED,172
271,24,2011,UNMARKED,UNMARKED,57
272,24,2011,DECLINED,DECLINED,26
273,24,2011,VOTER_TURNOUT,VOTER_TURNOUT,43703
274,24,2011,ELECTORS,ELECTORS,87390
275,25,2011,BAGHEL,PROGRESSIVE CONSERVATIVE PARTY OF ONTARIO,100
276,25,2011,CEOLIN,FAMILY COALITION PARTY OF ONTARIO,391
277,25,2011,GILL,GREEN                          ,541
278,25,2011,MCCONNELL,FREEDOM                        ,320
279,25,2011,QAADRI,LIBERAL                        ,12081
280,25,2011,SHARMA,NEW DEMOCRATIC                 ,5426
281,25,2011,SINGH,NEW DEMOCRATIC                 ,6072
282,25,2011,REJECTED,REJECTED,113
283,25,2011,UNMARKED,UNMARKED,28
284,25,2011,DECLINED,DECLINED,10
285,25,2011,VOTER_TURNOUT,VOTER_TURNOUT,25082
286,25,2011,ELECTORS,ELECTORS,62472
287,26,2011,CRACK,LIBERAL                        ,17345
288,26,2011,GOSSELIN,PROGRESSIVE CONSERVATIVE       ,15973
289,26,2011,HOWARTH,GREEN                          ,770
290,26,2011,JEAN-LOUIS,NEW DEMOCRATIC                 ,5721
291,26,2011,LEDUC,FREEDOM                        ,164
292,26,2011,MILLER,GREEN                          ,199
293,26,2011,REJECTED,REJECTED,213
294,26,2011,UNMARKED,UNMARKED,47
295,26,2011,DECLINED,DECLINED,9
296,26,2011,VOTER_TURNOUT,VOTER_TURNOUT,40441
297,26,2011,ELECTORS,ELECTORS,84584
298,27,2011,BENDER,ONTARIO LIBERTARIAN PARTY,305
299,27,2011,DYCK,GREEN                          ,3234
300,27,2011,GARVIE,COMMUNIST                      ,139
301,27,2011,GORDON,NEW DEMOCRATIC                 ,11150
302,27,2011,ICHIM,INDEPENDENT,100
303,27,2011,SANDALS,LIBERAL                        ,19815
304,27,2011,SCHIRK,PROGRESSIVE CONSERVATIVE       ,11954
305,27,2011,REJECTED,REJECTED,115
306,27,2011,UNMARKED,UNMARKED,64
307,27,2011,DECLINED,DECLINED,27
308,27,2011,VOTER_TURNOUT,VOTER_TURNOUT,46903
309,27,2011,ELECTORS,ELECTORS,93308
310,28,2011,BARRETT,PROGRESSIVE CONSERVATIVE       ,25203
311,28,2011,BLAKE,GREEN                          ,868
312,28,2011,CRONE,LIBERAL                        ,7087
313,28,2011,GOTS,FAMILY COALITION PARTY OF ONTARIO,242
314,28,2011,NICHOLS,NEW DEMOCRATIC                 ,8048
315,28,2011,REJECTED,REJECTED,103
316,28,2011,UNMARKED,UNMARKED,39
317,28,2011,DECLINED,DECLINED,6
318,28,2011,VOTER_TURNOUT,VOTER_TURNOUT,41596
319,28,2011,ELECTORS,ELECTORS,78030
320,29,2011,ABEL,NEW DEMOCRATIC                 ,8517
321,29,2011,JOHNSON,LIBERAL                        ,16522
322,29,2011,OLITO,FREEDOM                        ,245
323,29,2011,PAYNE,GREEN                          ,1562
324,29,2011,SCOTT,PROGRESSIVE CONSERVATIVE       ,22352
325,29,2011,REJECTED,REJECTED,88
326,29,2011,UNMARKED,UNMARKED,54
327,29,2011,DECLINED,DECLINED,46
328,29,2011,VOTER_TURNOUT,VOTER_TURNOUT,49386
329,29,2011,ELECTORS,ELECTORS,89830
330,30,2011,BUCK,NO AFFILIATION,166
331,30,2011,CHUDLEIGH,PROGRESSIVE CONSERVATIVE       ,26228
332,30,2011,FRASER,GREEN                          ,1286
333,30,2011,NAIDOO-HARRIS,LIBERAL                        ,23080
334,30,2011,RODRIGUES,FAMILY COALITION PARTY OF ONTARIO,296
335,30,2011,SPOHR,NEW DEMOCRATIC                 ,7757
336,30,2011,VAN DEN BURG,VAN DEN BURG,168
337,30,2011,REJECTED,REJECTED,120
338,30,2011,UNMARKED,UNMARKED,42
339,30,2011,DECLINED,DECLINED,19
340,30,2011,VOTER_TURNOUT,VOTER_TURNOUT,59162
341,30,2011,ELECTORS,ELECTORS,128643
342,31,2011,BALDASARO,INDEPENDENT,268
343,31,2011,GRACEY,COMMUNIST                      ,122
344,31,2011,HORWATH,NEW DEMOCRATIC                 ,20586
345,31,2011,KUHLMANN,ONTARIO LIBERTARIAN PARTY,634
346,31,2011,LAWSON,FREEDOM                        ,130
347,31,2011,ORMOND,GREEN                          ,1249
348,31,2011,PASSMORE,FAMILY COALITION PARTY OF ONTARIO,229
349,31,2011,SHEPPARD,PROGRESSIVE CONSERVATIVE       ,4421
350,31,2011,SZAJKOWSKI,REFORM PARTY OF ONTARIO,67
351,31,2011,TIQUI-SHEBIB,LIBERAL                        ,5861
352,31,2011,REJECTED,REJECTED,102
353,31,2011,UNMARKED,UNMARKED,46
354,31,2011,DECLINED,DECLINED,29
355,31,2011,VOTER_TURNOUT,VOTER_TURNOUT,33744
356,31,2011,ELECTORS,ELECTORS,79524
357,32,2011,CRIPPS,LIBERAL                        ,10397
358,32,2011,DOUCETTE,FREEDOM                        ,133
359,32,2011,FIORENTINO,PROGRESSIVE CONSERVATIVE       ,7395
360,32,2011,INNES,FAMILY COALITION PARTY OF ONTARIO,173
361,32,2011,MILLER,NEW DEMOCRATIC                 ,20442
362,32,2011,PATTINSON,ONTARIO LIBERTARIAN PARTY,295
363,32,2011,RANDALL,GREEN                          ,692
364,32,2011,REJECTED,REJECTED,153
365,32,2011,UNMARKED,UNMARKED,49
366,32,2011,DECLINED,DECLINED,14
367,32,2011,VOTER_TURNOUT,VOTER_TURNOUT,39743
368,32,2011,ELECTORS,ELECTORS,85908
369,33,2011,AGGELONITIS,LIBERAL                        ,14694
370,33,2011,ELMS,PROGRESSIVE CONSERVATIVE       ,8641
371,33,2011,ENOS,FAMILY COALITION PARTY OF ONTARIO,450
372,33,2011,GOODWIN,FREEDOM                        ,126
373,33,2011,MORRIS,GREEN                          ,748
374,33,2011,TAYLOR,NEW DEMOCRATIC                 ,20492
375,33,2011,WIENHOLD,ONTARIO LIBERTARIAN PARTY,222
376,33,2011,REJECTED,REJECTED,144
377,33,2011,UNMARKED,UNMARKED,52
378,33,2011,DECLINED,DECLINED,12
379,33,2011,VOTER_TURNOUT,VOTER_TURNOUT,45581
380,33,2011,ELECTORS,ELECTORS,90355
381,34,2011,MAIN,GREEN                          ,772
382,34,2011,MITCHELL,LIBERAL                        ,14659
383,34,2011,ROBERTSON,NEW DEMOCRATIC                 ,9329
384,34,2011,SCHNURR,FAMILY COALITION PARTY OF ONTARIO,656
385,34,2011,THOMPSON,PROGRESSIVE CONSERVATIVE       ,19138
386,34,2011,VALENTA,INDEPENDENT,200
387,34,2011,REJECTED,REJECTED,108
388,34,2011,UNMARKED,UNMARKED,47
389,34,2011,DECLINED,DECLINED,17
390,34,2011,VOTER_TURNOUT,VOTER_TURNOUT,44926
391,34,2011,ELECTORS,ELECTORS,75853
392,35,2011,CAMPBELL,NEW DEMOCRATIC                 ,10949
393,35,2011,HOLIDAY,GREEN                          ,391
394,35,2011,LEEK,LIBERAL                        ,2202
395,35,2011,MCKAY,PROGRESSIVE CONSERVATIVE       ,8307
396,35,2011,ROMANIUK,NORTHERN ONTARIO HERITAGE      ,216
397,35,2011,REJECTED,REJECTED,44
398,35,2011,UNMARKED,UNMARKED,14
399,35,2011,DECLINED,DECLINED,7
400,35,2011,VOTER_TURNOUT,VOTER_TURNOUT,22130
401,35,2011,ELECTORS,ELECTORS,48369
402,36,2011,BEST,PEOPLE FIRST REPUBLIC PARTY OF ONTARIO,56
403,36,2011,BUSCH,FREEDOM                        ,71
404,36,2011,CARACCIOLO,FAMILY COALITION PARTY OF ONTARIO,336
405,36,2011,GERRETSEN,LIBERAL                        ,21028
406,36,2011,HOLLAND,NEW DEMOCRATIC                 ,10241
407,36,2011,JAMES,PROGRESSIVE CONSERVATIVE       ,9610
408,36,2011,KILEY,GREEN                          ,1594
409,36,2011,SHAW,ONTARIO LIBERTARIAN PARTY,115
410,36,2011,REJECTED,REJECTED,87
411,36,2011,UNMARKED,UNMARKED,33
412,36,2011,DECLINED,DECLINED,43
413,36,2011,VOTER_TURNOUT,VOTER_TURNOUT,43214
414,36,2011,ELECTORS,ELECTORS,95966
415,37,2011,ATSIZ,FREEDOM                        ,77
416,37,2011,BERNIER,ONTARIO LIBERTARIAN PARTY,240
417,37,2011,CORBIERE,INDEPENDENT,137
418,37,2011,DEARLOVE,NEW DEMOCRATIC                 ,7385
419,37,2011,MACDONALD,PROGRESSIVE CONSERVATIVE       ,15069
420,37,2011,MILLOY,LIBERAL                        ,15392
421,37,2011,VERCOUTEREN,GREEN                          ,938
422,37,2011,REJECTED,REJECTED,110
423,37,2011,UNMARKED,UNMARKED,40
424,37,2011,DECLINED,DECLINED,22
425,37,2011,VOTER_TURNOUT,VOTER_TURNOUT,39410
426,37,2011,ELECTORS,ELECTORS,80170
427,38,2011,CAIRNS,NEW DEMOCRATIC                 ,7165
428,38,2011,HARRIS,PROGRESSIVE CONSERVATIVE       ,18017
429,38,2011,PENDERGAST,LIBERAL                        ,14476
430,38,2011,ROSE,GREEN                          ,1121
431,38,2011,REJECTED,REJECTED,112
432,38,2011,UNMARKED,UNMARKED,107
433,38,2011,DECLINED,DECLINED,25
434,38,2011,VOTER_TURNOUT,VOTER_TURNOUT,41023
435,38,2011,ELECTORS,ELECTORS,87992
436,39,2011,CISTERNA,NEW DEMOCRATIC                 ,8250
437,39,2011,DAVIS,INDEPENDENT,17837
438,39,2011,DAVIS,INDEPENDENT,17837
439,39,2011,MCGUIRE,GREEN                          ,1308
440,39,2011,MOTZ,FREEDOM                        ,123
441,39,2011,WITMER,PROGRESSIVE CONSERVATIVE       ,21665
442,39,2011,REJECTED,REJECTED,93
443,39,2011,UNMARKED,UNMARKED,36
444,39,2011,DECLINED,DECLINED,39
445,39,2011,VOTER_TURNOUT,VOTER_TURNOUT,49667
446,39,2011,ELECTORS,ELECTORS,98268
447,40,2011,ARMSTRONG,GREEN                          ,987
448,40,2011,HARNESS,REFORM PARTY OF ONTARIO,232
449,40,2011,HILL,NEW DEMOCRATIC                 ,8882
450,40,2011,JACKSON,PROGRESSIVE CONSERVATIVE       ,119
451,40,2011,MCNAUGHTON,PROGRESSIVE CONSERVATIVE       ,19379
452,40,2011,VAN BOMMEL,VAN BOMMEL,12423
453,40,2011,VANDER VLOET,VANDER VLOET,350
454,40,2011,REJECTED,REJECTED,104
455,40,2011,UNMARKED,UNMARKED,42
456,40,2011,DECLINED,DECLINED,31
457,40,2011,VOTER_TURNOUT,VOTER_TURNOUT,42549
458,40,2011,ELECTORS,ELECTORS,78683
459,41,2011,HILLIER,PROGRESSIVE CONSERVATIVE       ,22457
460,41,2011,MACDONALD,PROGRESSIVE CONSERVATIVE       ,12490
461,41,2011,MATTE,GREEN                          ,1754
462,41,2011,PARKHILL,NEW DEMOCRATIC                 ,8104
463,41,2011,REJECTED,REJECTED,78
464,41,2011,UNMARKED,UNMARKED,50
465,41,2011,DECLINED,DECLINED,29
466,41,2011,VOTER_TURNOUT,VOTER_TURNOUT,44962
467,41,2011,ELECTORS,ELECTORS,89150
468,42,2011,CLARK,NEW DEMOCRATIC                 ,24314
469,42,2011,FULSOM,SOCIALIST PARTY OF ONTARIO,111
470,42,2011,HEFFERNAN,LIBERAL                        ,6663
471,42,2011,LUNDY,NEW DEMOCRATIC                 ,5822
472,42,2011,TAYLOR,NEW DEMOCRATIC                 ,1319
473,42,2011,REJECTED,REJECTED,94
474,42,2011,UNMARKED,UNMARKED,43
475,42,2011,DECLINED,DECLINED,18
476,42,2011,VOTER_TURNOUT,VOTER_TURNOUT,38384
477,42,2011,ELECTORS,ELECTORS,75797
478,43,2011,ARMSTRONG,NEW DEMOCRATIC                 ,13953
479,43,2011,DURNIN,FREEDOM                        ,155
480,43,2011,HAMADI,INDEPENDENT,192
481,43,2011,HARNICK,ONTARIO LIBERTARIAN PARTY,320
482,43,2011,LAZAR,GREEN                          ,852
483,43,2011,MILLER,GREEN                          ,9075
484,43,2011,RAMAL,LIBERAL                        ,9678
485,43,2011,REJECTED,REJECTED,133
486,43,2011,UNMARKED,UNMARKED,59
487,43,2011,DECLINED,DECLINED,26
488,43,2011,VOTER_TURNOUT,VOTER_TURNOUT,34443
489,43,2011,ELECTORS,ELECTORS,75165
490,44,2011,AMBROGIO,FREEDOM                        ,269
491,44,2011,BRANSCOMBE,PROGRESSIVE CONSERVATIVE       ,12628
492,44,2011,HOLMES,NEW DEMOCRATIC                 ,9914
493,44,2011,LABONTE,GREEN                          ,1451
494,44,2011,MATTHEWS,LIBERAL                        ,19167
495,44,2011,SPOTTISWOOD,PATRON                         ,54
496,44,2011,VANKLINKEN,ONTARIO LIBERTARIAN PARTY,169
497,44,2011,REJECTED,REJECTED,127
498,44,2011,UNMARKED,UNMARKED,58
499,44,2011,DECLINED,DECLINED,32
500,44,2011,VOTER_TURNOUT,VOTER_TURNOUT,43869
